Name,Name2,X1 (Relative Compactness) ,X2 (Compactness),X3 (Surface Area) (m2),X4 (Wall Area) (m2),X5 (Roof and floor Area) (m2),X6 (Overall Height) (m),X7 (Glazing Percentage) ,X8 (Temperature) (in F),X9 (Orientation) ( in degrees),X10 (Roof U value) (BTU/hft2F),X11 (EX.Walls U value)(BTU/hft2F),X12 (EX.windows U value) (BTU/hft2F),X13 (SHGC of Windows) ,Interior Walls (BTU/hft2F),Ceilings (BTU/hft2F),Floors (BTU/hft2F),Slabs (BTU/hft2F),Doors -Metal (BTU/hft2F),Interior Windows (BTU/hft2F),Skylights (BTU/hft2F),Outdoor Air per Person (CFM),Y (Energy) (kwh/m2/year
E,315D10,0.705,1.178,856,280,288,3.5,10,45,315,0.1201,0.1627,0.5141,0.13,0.2595,0.2397,0.521,0.1243,0.652,0.6498,0.5628,15,230
E,315K10,0.705,1.178,856,280,288,3.5,10,55,315,0.1201,0.1627,0.5141,0.13,0.2595,0.2397,0.521,0.1243,0.652,0.6498,0.5628,15,240
E,315M10,0.705,1.178,856,280,288,3.5,10,63,315,0.1201,0.1627,0.5141,0.13,0.2595,0.2397,0.521,0.1243,0.652,0.6498,0.5628,15,223
E,315B30,0.705,1.178,856,280,288,3.5,30,72,315,0.1201,0.1627,0.5141,0.13,0.2595,0.2397,0.521,0.1243,0.652,0.6498,0.5628,15,237
E,315C30,0.705,1.178,856,280,288,3.5,30,69,315,0.1201,0.1627,0.5141,0.13,0.2595,0.2397,0.521,0.1243,0.652,0.6498,0.5628,15,253
E,315D30,0.705,1.178,856,280,288,3.5,30,45,315,0.1201,0.1627,0.5141,0.13,0.2595,0.2397,0.521,0.1243,0.652,0.6498,0.5628,15,240
E,315K30,0.705,1.178,856,280,288,3.5,30,55,315,0.1201,0.1627,0.5141,0.13,0.2595,0.2397,0.521,0.1243,0.652,0.6498,0.5628,15,251
E,315M30,0.705,1.178,856,280,288,3.5,30,63,315,0.1201,0.1627,0.5141,0.13,0.2595,0.2397,0.521,0.1243,0.652,0.6498,0.5628,15,234
E,315B50,0.705,1.178,856,280,288,3.5,50,72,315,0.1201,0.1627,0.5141,0.13,0.2595,0.2397,0.521,0.1243,0.652,0.6498,0.5628,15,249
E,315C50,0.705,1.178,856,280,288,3.5,50,69,315,0.1201,0.1627,0.5141,0.13,0.2595,0.2397,0.521,0.1243,0.652,0.6498,0.5628,15,255
E,315D50,0.705,1.178,856,280,288,3.5,50,45,315,0.1201,0.1627,0.5141,0.13,0.2595,0.2397,0.521,0.1243,0.652,0.6498,0.5628,15,242
E,315K50,0.705,1.178,856,280,288,3.5,50,55,315,0.1201,0.1627,0.5141,0.13,0.2595,0.2397,0.521,0.1243,0.652,0.6498,0.5628,15,266
E,315M50,0.705,1.178,856,280,288,3.5,50,63,315,0.1201,0.1627,0.5141,0.13,0.2595,0.2397,0.521,0.1243,0.652,0.6498,0.5628,15,246
EA,0B0,0.705,1.178,856,280,288,3.5,0,72,0,0.2245,0.1627,0.5141,0.13,0.2595,0.2397,0.521,0.1243,0.652,0.6498,0.5628,15,221
EA,0C0,0.705,1.178,856,280,288,3.5,0,69,0,0.2245,0.1627,0.5141,0.13,0.2595,0.2397,0.521,0.1243,0.652,0.6498,0.5628,15,227
EA,0D0,0.705,1.178,856,280,288,3.5,0,45,0,0.2245,0.1627,0.5141,0.13,0.2595,0.2397,0.521,0.1243,0.652,0.6498,0.5628,15,216
EA,0K0,0.705,1.178,856,280,288,3.5,0,55,0,0.2245,0.1627,0.5141,0.13,0.2595,0.2397,0.521,0.1243,0.652,0.6498,0.5628,15,242
EA,0M0,0.705,1.178,856,280,288,3.5,0,63,0,0.2245,0.1627,0.5141,0.13,0.2595,0.2397,0.521,0.1243,0.652,0.6498,0.5628,15,216
EA,0B10,0.705,1.178,856,280,288,3.5,10,72,0,0.2245,0.1627,0.5141,0.13,0.2595,0.2397,0.521,0.1243,0.652,0.6498,0.5628,15,219
EA,0C10,0.705,1.178,856,280,288,3.5,10,69,0,0.2245,0.1627,0.5141,0.13,0.2595,0.2397,0.521,0.1243,0.652,0.6498,0.5628,15,225
